Continent,Continent Code,Country,Country Code,State,State Code,Via,Via Code,Year,Month,Month Code,Arrivals,processed_at
Europa,6,Alemanha,57,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,10,2026-01-15 01:47:11
América do Sul,4,Argentina,26,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1197,2026-01-15 01:47:11
Europa,6,Bélgica,59,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,3,2026-01-15 01:47:11
América do Norte,3,Canadá,23,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
América do Sul,4,Chile,28,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Dinamarca,62,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
Europa,6,Eslováquia,63,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Espanha,65,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,9,2026-01-15 01:47:11
América do Norte,3,Estados Unidos,24,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,França,68,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,8,2026-01-15 01:47:11
Europa,6,Holanda,70,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
Europa,6,Irlanda,72,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,3,2026-01-15 01:47:11
Europa,6,Itália,73,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,77,2026-01-15 01:47:11
Europa,6,Letônia,74,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América do Norte,3,México,25,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América do Sul,4,Paraguai,33,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Polônia,78,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Portugal,79,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,270,2026-01-15 01:47:11
Europa,6,Reino Unido,80,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,5,2026-01-15 01:47:11
Europa,6,Rússia,83,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,5,2026-01-15 01:47:11
Europa,6,Suécia,85,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Suíça,86,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,13,2026-01-15 01:47:11
Europa,6,Ucrânia,88,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América do Sul,4,Venezuela,37,Outras Unidades da Federação,99,Aérea,1,2024,Janeiro,1,4,2026-01-15 01:47:11
Europa,6,Itália,73,Amapá,3,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
Europa,6,Alemanha,57,Amazonas,4,Aérea,1,2024,Janeiro,1,27,2026-01-15 01:47:11
África,1,Angola,2,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América do Sul,4,Argentina,26,Amazonas,4,Aérea,1,2024,Janeiro,1,8,2026-01-15 01:47:11
Oceania,7,Austrália,90,Amazonas,4,Aérea,1,2024,Janeiro,1,11,2026-01-15 01:47:11
Europa,6,Bélgica,59,Amazonas,4,Aérea,1,2024,Janeiro,1,3,2026-01-15 01:47:11
América Central e Caribe,2,Outros países da América Central e Caribe,22,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América do Norte,3,Canadá,23,Amazonas,4,Aérea,1,2024,Janeiro,1,94,2026-01-15 01:47:11
Ásia,5,China,40,Amazonas,4,Aérea,1,2024,Janeiro,1,8,2026-01-15 01:47:11
Ásia,5,"China, Hong Kong",41,Amazonas,4,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
América do Sul,4,Colômbia,29,Amazonas,4,Aérea,1,2024,Janeiro,1,75,2026-01-15 01:47:11
América Central e Caribe,2,Costa Rica,12,Amazonas,4,Aérea,1,2024,Janeiro,1,8,2026-01-15 01:47:11
Europa,6,Dinamarca,62,Amazonas,4,Aérea,1,2024,Janeiro,1,5,2026-01-15 01:47:11
América Central e Caribe,2,El Salvador,14,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América do Sul,4,Equador,30,Amazonas,4,Aérea,1,2024,Janeiro,1,14,2026-01-15 01:47:11
Europa,6,Eslováquia,63,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Espanha,65,Amazonas,4,Aérea,1,2024,Janeiro,1,7,2026-01-15 01:47:11
América do Norte,3,Estados Unidos,24,Amazonas,4,Aérea,1,2024,Janeiro,1,1118,2026-01-15 01:47:11
Ásia,5,Filipinas,43,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,França,68,Amazonas,4,Aérea,1,2024,Janeiro,1,25,2026-01-15 01:47:11
Europa,6,Grécia,69,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América Central e Caribe,2,Guatemala,15,Amazonas,4,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
América do Sul,4,Guiana,31,Amazonas,4,Aérea,1,2024,Janeiro,1,6,2026-01-15 01:47:11
Europa,6,Holanda,70,Amazonas,4,Aérea,1,2024,Janeiro,1,3,2026-01-15 01:47:11
América Central e Caribe,2,Honduras,17,Amazonas,4,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
Europa,6,Hungria,71,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Ásia,5,Índia,44,Amazonas,4,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
Europa,6,Irlanda,72,Amazonas,4,Aérea,1,2024,Janeiro,1,10,2026-01-15 01:47:11
Ásia,5,Israel,47,Amazonas,4,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
Europa,6,Itália,73,Amazonas,4,Aérea,1,2024,Janeiro,1,8,2026-01-15 01:47:11
Ásia,5,Japão,48,Amazonas,4,Aérea,1,2024,Janeiro,1,17,2026-01-15 01:47:11
Europa,6,Letônia,74,Amazonas,4,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
Ásia,5,Malásia,50,Amazonas,4,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
Europa,6,Outros países da Europa,89,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
África,1,Marrocos,6,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América do Norte,3,México,25,Amazonas,4,Aérea,1,2024,Janeiro,1,36,2026-01-15 01:47:11
África,1,Moçambique,7,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Outros países da Europa,89,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Noruega,77,Amazonas,4,Aérea,1,2024,Janeiro,1,2,2026-01-15 01:47:11
América Central e Caribe,2,Panamá,19,Amazonas,4,Aérea,1,2024,Janeiro,1,7,2026-01-15 01:47:11
Ásia,5,Paquistão,51,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
América do Sul,4,Peru,34,Amazonas,4,Aérea,1,2024,Janeiro,1,20,2026-01-15 01:47:11
Europa,6,Polônia,78,Amazonas,4,Aérea,1,2024,Janeiro,1,15,2026-01-15 01:47:11
Europa,6,Portugal,79,Amazonas,4,Aérea,1,2024,Janeiro,1,7,2026-01-15 01:47:11
Europa,6,Reino Unido,80,Amazonas,4,Aérea,1,2024,Janeiro,1,32,2026-01-15 01:47:11
Ásia,5,República da Coreia,52,Amazonas,4,Aérea,1,2024,Janeiro,1,5,2026-01-15 01:47:11
América Central e Caribe,2,República Dominicana,20,Amazonas,4,Aérea,1,2024,Janeiro,1,3,2026-01-15 01:47:11
Europa,6,República Tcheca,81,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
Europa,6,Romênia,82,Amazonas,4,Aérea,1,2024,Janeiro,1,1,2026-01-15 01:47:11
